% dwellings which are public housing,Distance to GPO (km),Public Housing Dwellings,Equivalent household income <$600/week,"Poor English proficiency, persons",Dwellings with no internet,"Aboriginal or Torres Strait Islander, persons","Holds degree or higher, persons",Population Density
2.92896174863388,18.828951274,134,1456,876,771,17,2900,2888.80908805251
5.14520202020202,17.8810455595,163,949,389,559,22,2165,2363.883783993967
4.599029350589323,20.5045183956,199,1476,1185,578,13,2790,2909.3955958878387
42.25806451612903,11.595888427399998,1310,1431,1606,820,55,993,2025.4682957270925
18.560606060606062,77.6443103049,98,235,12,151,23,65,224.1957635192813
,244.820737045,<5,104,<5,46,<5,52,532.9478667407063
2.39880059970015,23.366095668000003,32,301,20,194,12,550,2444.1647344673133
,177.73939957099998,<5,82,<5,57,9,26,149.49692356649842
,386.271069801,<5,465,5,294,21,321,1.0048851789868785
2.8995756718528995,323.583765474,41,433,18,234,<5,274,236.20561660371925
1.077956569286049,13.1094876437,69,1284,288,812,20,4430,2943.553801876582
2.5312294543063776,11.5555588487,231,1388,325,914,25,6972,2749.6145416049185
,94.6583420062,<5,142,<5,84,16,140,4.011816683934588
5.01432664756447,89.07758160819999,70,518,<5,303,43,166,388.3010806862708
7.653061224489796,16.0423880704,30,176,86,99,17,74,1537.161141606157
35.16308671439936,16.976549981799998,1326,1840,1478,956,93,588,1405.502943176792
1.8820577164366372,13.5984340624,15,244,155,202,9,211,315.6356583417111
,4.4195730463,<5,22,10,16,<5,139,3165.386596104726
48.07017543859649,4.04897460247,137,97,30,57,<5,173,5618.331095562606
3.327665776050522,5.78340385473,137,970,470,636,41,3253,4204.316335074358
3.335818114051435,5.7591571257,358,2598,1547,1547,52,8569,4751.80879834744
7.6778144135657085,7.41089641631,489,1686,784,1153,58,4097,4391.1655683348135
,307.049426555,<5,109,<5,56,8,38,88.74998314662074
,28.1391245675,<5,36,<5,18,<5,20,555.7772213743219
1.2684031710079275,14.5348574421,56,1399,881,910,19,2406,1709.6799595024047
,102.980719704,<5,23,<5,6,<5,46,495.4996792869749
,290.57229939900003,<5,37,<5,31,<5,44,106.26473391400047
2.9973045822102424,25.0607402918,278,3087,1488,1532,179,4485,1609.1044414715388
0.8866995073891626,121.08218239,9,315,6,134,13,492,786.1376143303831
,79.392874694,<5,579,22,317,16,279,20.88658326238683
1.3803680981595092,83.47477130959999,9,225,<5,113,18,110,473.0559616980974
2.2332506203473947,12.0376857347,9,57,20,46,<5,363,743.1542427643269
1.1302795954788816,29.1732365058,19,398,338,154,17,827,2742.603624062896
,28.0089423475,<5,531,277,307,20,437,1864.6766418832387
0.2528445006321112,19.2351571257,10,1403,914,690,10,2505,2487.3308983562347
8.911077618688772,15.439665703,473,1900,781,841,31,3458,2325.4773922396644
,259.410829986,<5,54,<5,32,8,68,184.42942398928585
,102.066157126,<5,44,<5,18,<5,30,199.57753058951667
,546.297949054,<5,56,9,23,11,52,107.2581792593678
2.290950744558992,24.5723573295,60,771,1252,284,8,1242,2196.203421089984
